S No,pH,Temperature,Moisture,Time_log,Gadget Id,Location,target
1,7.0,27.1,48.0,18-01-2022 10:26,NITSL001,Farm 1,no_irrigation
2,7.0,27.5,47.7,18-01-2022 10:26,NITSL001,Farm 1,no_irrigation
3,7.0,27.5,47.7,18-01-2022 10:26,NITSL001,Farm 1,no_irrigation
4,7.0,27.5,47.6,18-01-2022 10:26,NITSL001,Farm 1,no_irrigation
5,7.0,27.5,47.7,18-01-2022 10:26,NITSL001,Farm 1,no_irrigation
6,7.0,27.5,47.4,18-01-2022 10:26,NITSL001,Farm 1,no_irrigation
7,7.0,27.5,47.5,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
8,7.0,27.5,47.7,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
9,7.0,27.5,47.5,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
10,7.0,27.5,47.7,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
11,7.0,27.5,47.7,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
12,7.0,27.5,48.0,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
13,7.0,27.5,47.8,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
14,7.0,27.5,47.8,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
15,7.0,27.5,47.9,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
16,7.0,27.5,47.9,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
17,7.0,27.5,47.9,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
18,7.0,27.5,48.0,18-01-2022 10:27,NITSL001,Farm 1,no_irrigation
19,7.0,27.5,48.0,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
20,7.0,27.5,48.0,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
21,7.0,27.5,47.8,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
22,7.0,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
23,7.0,27.5,47.8,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
24,7.0,27.5,47.8,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
25,7.0,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
26,7.0,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
27,7.0,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
28,7.0,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
29,7.0,27.5,48.0,18-01-2022 10:28,NITSL001,Farm 1,no_irrigation
