S No,pH,Temperature,Moisture,Time_log,Gadget Id,Location
1,7,27.1,48,18-01-2022 10:26,NITSL001,Farm 1
2,7,27.5,47.7,18-01-2022 10:26,NITSL001,Farm 1
3,7,27.5,47.7,18-01-2022 10:26,NITSL001,Farm 1
4,7,27.5,47.6,18-01-2022 10:26,NITSL001,Farm 1
5,7,27.5,47.7,18-01-2022 10:26,NITSL001,Farm 1
6,7,27.5,47.4,18-01-2022 10:26,NITSL001,Farm 1
7,7,27.5,47.5,18-01-2022 10:27,NITSL001,Farm 1
8,7,27.5,47.7,18-01-2022 10:27,NITSL001,Farm 1
9,7,27.5,47.5,18-01-2022 10:27,NITSL001,Farm 1
10,7,27.5,47.7,18-01-2022 10:27,NITSL001,Farm 1
11,7,27.5,47.7,18-01-2022 10:27,NITSL001,Farm 1
12,7,27.5,48,18-01-2022 10:27,NITSL001,Farm 1
13,7,27.5,47.8,18-01-2022 10:27,NITSL001,Farm 1
14,7,27.5,47.8,18-01-2022 10:27,NITSL001,Farm 1
15,7,27.5,47.9,18-01-2022 10:27,NITSL001,Farm 1
16,7,27.5,47.9,18-01-2022 10:27,NITSL001,Farm 1
17,7,27.5,47.9,18-01-2022 10:27,NITSL001,Farm 1
18,7,27.5,48,18-01-2022 10:27,NITSL001,Farm 1
19,7,27.5,48,18-01-2022 10:28,NITSL001,Farm 1
20,7,27.5,48,18-01-2022 10:28,NITSL001,Farm 1
21,7,27.5,47.8,18-01-2022 10:28,NITSL001,Farm 1
22,7,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1
23,7,27.5,47.8,18-01-2022 10:28,NITSL001,Farm 1
24,7,27.5,47.8,18-01-2022 10:28,NITSL001,Farm 1
25,7,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1
26,7,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1
27,7,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1
28,7,27.5,47.9,18-01-2022 10:28,NITSL001,Farm 1
29,7,27.5,48,18-01-2022 10:28,NITSL001,Farm 1
30,7,27.5,47.8,18-01-2022 10:29,NITSL001,Farm 1
31,7,27.5,47.8,18-01-2022 10:29,NITSL001,Farm 1
32,7,27.5,48,18-01-2022 10:29,NITSL001,Farm 1
33,7,27.5,47.9,18-01-2022 10:29,NITSL001,Farm 1
34,7,27.5,47.9,18-01-2022 10:29,NITSL001,Farm 1
35,7,27.5,48,18-01-2022 10:29,NITSL001,Farm 1
36,7,27.5,48,18-01-2022 10:29,NITSL001,Farm 1
37,7,27.5,47.9,18-01-2022 10:29,NITSL001,Farm 1
38,7,27.5,48,18-01-2022 10:29,NITSL001,Farm 1
39,7,27.5,48.1,18-01-2022 10:29,NITSL001,Farm 1
40,7,27.5,48,18-01-2022 10:29,NITSL001,Farm 1
41,7,27.5,48,18-01-2022 10:29,NITSL001,Farm 1
42,7,27.5,48.1,18-01-2022 10:30,NITSL001,Farm 1
43,7,27.5,48,18-01-2022 10:30,NITSL001,Farm 1
44,7,27.5,48.1,18-01-2022 10:30,NITSL001,Farm 1
45,7,27.5,48.1,18-01-2022 10:30,NITSL001,Farm 1
46,7,27.5,48,18-01-2022 10:30,NITSL001,Farm 1
47,7,27.5,48.3,18-01-2022 10:30,NITSL001,Farm 1
48,7,27.5,48,18-01-2022 10:30,NITSL001,Farm 1
49,7,27.5,48,18-01-2022 10:30,NITSL001,Farm 1
50,7,27.5,47.9,18-01-2022 10:30,NITSL001,Farm 1
51,7,27.5,47.9,18-01-2022 10:30,NITSL001,Farm 1
52,7,27.5,48,18-01-2022 10:30,NITSL001,Farm 1
53,7,27.5,48,18-01-2022 10:31,NITSL001,Farm 1
54,7,27.5,48,18-01-2022 10:31,NITSL001,Farm 1
55,7,27.5,48,18-01-2022 10:31,NITSL001,Farm 1
56,7,27.5,48.2,18-01-2022 10:31,NITSL001,Farm 1
57,7,27.5,48,18-01-2022 10:31,NITSL001,Farm 1
58,7,27.5,48.1,18-01-2022 10:31,NITSL001,Farm 1
59,7,27.5,47.9,18-01-2022 10:31,NITSL001,Farm 1
60,7,27.5,48.1,18-01-2022 10:31,NITSL001,Farm 1
61,7,27.5,47.9,18-01-2022 10:31,NITSL001,Farm 1
62,7,27.5,48,18-01-2022 10:31,NITSL001,Farm 1
63,7,27.5,48,18-01-2022 10:31,NITSL001,Farm 1
64,7,27.5,48,18-01-2022 10:31,NITSL001,Farm 1
65,7,27.5,47.9,18-01-2022 10:32,NITSL001,Farm 1
66,7,27.5,48.2,18-01-2022 10:32,NITSL001,Farm 1
67,7,27.5,47.8,18-01-2022 10:32,NITSL001,Farm 1
68,7,27.5,48.1,18-01-2022 10:32,NITSL001,Farm 1
69,7,27.5,48,18-01-2022 10:32,NITSL001,Farm 1
70,7,27.5,48.2,18-01-2022 10:32,NITSL001,Farm 1
71,7,27.5,47.9,18-01-2022 10:32,NITSL001,Farm 1
72,7,27.5,48.1,18-01-2022 10:32,NITSL001,Farm 1
73,7,27.5,47.9,18-01-2022 10:32,NITSL001,Farm 1
74,7,27.5,48,18-01-2022 10:32,NITSL001,Farm 1
75,7,27.5,48.2,18-01-2022 10:32,NITSL001,Farm 1
76,7,27.5,48.1,18-01-2022 10:33,NITSL001,Farm 1
77,7,27.5,47.8,18-01-2022 10:33,NITSL001,Farm 1
78,7,27.5,48,18-01-2022 10:33,NITSL001,Farm 1
79,7,27.5,47.9,18-01-2022 10:33,NITSL001,Farm 1
80,7,27.5,48,18-01-2022 10:33,NITSL001,Farm 1
81,7,27.5,48,18-01-2022 10:33,NITSL001,Farm 1
82,7,27.5,47.9,18-01-2022 10:33,NITSL001,Farm 1
83,7,27.5,47.9,18-01-2022 10:33,NITSL001,Farm 1
84,7,27.5,48.1,18-01-2022 10:33,NITSL001,Farm 1
85,7,27.5,48.1,18-01-2022 10:33,NITSL001,Farm 1
86,7,27.5,45,18-01-2022 10:33,NITSL001,Farm 1
87,7,27.5,44.3,18-01-2022 10:33,NITSL001,Farm 1
88,7,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1
89,7,27.5,50.9,18-01-2022 10:34,NITSL001,Farm 1
90,7,27.5,51.3,18-01-2022 10:34,NITSL001,Farm 1
91,7,27.5,51.2,18-01-2022 10:34,NITSL001,Farm 1
92,7,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1
93,7,27.5,51,18-01-2022 10:34,NITSL001,Farm 1
94,7,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1
95,7,27.5,51.1,18-01-2022 10:34,NITSL001,Farm 1
